Model,Accuracy,F1-score,ROC-AUC
LightGBM,0.8516286354354593,0.8121674530669611,0.9321455295057095
XGBoost,0.8550385599016673,0.8182450907283122,0.9320319566599602
CatBoost,0.8544438056343054,0.813768262987013,0.9258636554712996
Gradient Boosting,0.8543645050653238,0.8092938733125649,0.9221341675173751
Logistic Regression,0.8501814000515454,0.7898790490754901,0.899469727004028
Random Forest,0.8424099442913503,0.7978022537074251,0.8990680800313303
Decision Tree,0.8260145516544081,0.7809942104212417,0.8895204300564342
Naive Bayes,0.8338454828413394,0.7482502778528731,0.8855285657443509
KNN,0.7774231280109435,0.7445448133063324,0.8696804250090218
