Model,R2,MAE,MSE,RMSE
LightGBM,0.9406480479341951,0.48318678494376244,0.4537424499195183,0.6736040750466985
XGBoost,0.9374554133213642,0.4951284751640236,0.47814996813084265,0.6914838885547824
CatBoost,0.9037854288706009,0.6455743822766948,0.7355551705158105,0.8576451308762911
GradientBoosting,0.8274766260979898,0.8265254188362096,1.3189318230997196,1.1484475708972175
Ridge,0.5851182076657204,1.2228995368003202,3.1717487686342696,1.7809404169242355
ElasticNet,0.5850858450551615,1.2228905397019385,3.171996179034261,1.7810098761753852
Lasso,0.585079792952583,1.2228948069690913,3.1720424470297606,1.7810228653865623
